A,B,Pulse Count,Change Count,Speed,Direction
0,0,1,0,0,forward
0,0,2,0,0,forward
0,0,3,0,0,forward
0,0,4,0,0,forward
0,0,5,0,0,forward
0,0,1,0,0.1,forward
0,0,2,0,0.1,forward
0,0,3,0,0.1,forward
0,0,4,0,0.1,forward
0,0,5,0,0.1,forward
0,0,1,0,0.2,forward
0,0,2,1,0.2,forward
0,0,3,0,0.2,forward
0,0,4,0,0.2,forward
0,0,5,0,0.2,forward
0,0,1,0,0.30000000000000004,forward
0,0,2,0,0.30000000000000004,forward
0,0,3,0,0.30000000000000004,forward
1,0,4,1512,0.30000000000000004,forward
0,1,5,2302,0.30000000000000004,forward
0,0,1,2660,0.4,forward
1,0,2,2575,0.4,forward
0,0,3,2676,0.4,forward
0,0,4,2576,0.4,forward
0,0,5,2499,0.4,forward
0,0,1,1750,0.5,forward
0,1,2,2492,0.5,forward
0,1,3,2447,0.5,forward
0,0,4,2290,0.5,forward
0,1,5,2705,0.5,forward
0,0,1,2037,0.6,forward
0,0,2,1970,0.6,forward
0,0,3,1947,0.6,forward
0,0,4,2106,0.6,forward
0,1,5,2063,0.6,forward
0,0,1,2604,0.7,forward
0,0,2,2187,0.7,forward
0,0,3,2310,0.7,forward
1,0,4,1488,0.7,forward
0,1,5,2397,0.7,forward
0,1,1,2420,0.7999999999999999,forward
0,1,2,2222,0.7999999999999999,forward
1,0,3,2173,0.7999999999999999,forward
0,0,4,2244,0.7999999999999999,forward
0,0,5,2013,0.7999999999999999,forward
0,0,1,1145,0.8999999999999999,forward
0,0,2,1426,0.8999999999999999,forward
0,0,3,1492,0.8999999999999999,forward
1,0,4,1300,0.8999999999999999,forward
1,0,5,1379,0.8999999999999999,forward
0,0,1,783,0.9999999999999999,forward
0,0,2,1696,0.9999999999999999,forward
0,0,3,1396,0.9999999999999999,forward
0,0,4,1230,0.9999999999999999,forward
0,1,5,1443,0.9999999999999999,forward
0,0,1,2151,0.1,backward
0,0,2,1092,0.1,backward
0,0,3,2,0.1,backward
1,0,4,234,0.1,backward
1,0,5,0,0.1,backward
1,0,1,0,0.2,backward
1,0,2,0,0.2,backward
1,0,3,0,0.2,backward
0,1,4,98,0.2,backward
1,0,5,1552,0.2,backward
0,0,1,1377,0.30000000000000004,backward
0,0,2,1317,0.30000000000000004,backward
0,0,3,114,0.30000000000000004,backward
0,1,4,1280,0.30000000000000004,backward
0,0,5,1426,0.30000000000000004,backward
1,1,1,1620,0.4,backward
0,0,2,1393,0.4,backward
0,1,3,1462,0.4,backward
0,0,4,2219,0.4,backward
0,0,5,1858,0.4,backward
0,0,1,2106,0.5,backward
0,0,2,1145,0.5,backward
0,1,3,2818,0.5,backward
0,0,4,2657,0.5,backward
0,0,5,2909,0.5,backward
0,0,1,2086,0.6,backward
0,0,2,2010,0.6,backward
0,0,3,2685,0.6,backward
1,0,4,2758,0.6,backward
0,0,5,2289,0.6,backward
0,0,1,2891,0.7,backward
0,0,2,0,0.7,backward
0,0,3,0,0.7,backward
0,0,4,0,0.7,backward
0,0,5,0,0.7,backward
0,0,1,0,0.7999999999999999,backward
0,0,2,0,0.7999999999999999,backward
0,0,3,0,0.7999999999999999,backward
0,0,4,0,0.7999999999999999,backward
0,0,5,0,0.7999999999999999,backward
0,0,1,0,0.8999999999999999,backward
0,0,2,0,0.8999999999999999,backward
0,0,3,0,0.8999999999999999,backward
0,0,4,0,0.8999999999999999,backward
0,0,5,0,0.8999999999999999,backward
0,0,1,0,0.9999999999999999,backward
0,0,2,0,0.9999999999999999,backward
0,0,3,0,0.9999999999999999,backward
0,0,4,0,0.9999999999999999,backward
0,0,5,0,0.9999999999999999,backward
0,0,1,0,0.1,forward
0,1,2,0,0.1,forward
0,0,3,0,0.1,forward
0,0,4,0,0.1,forward
0,0,5,0,0.1,forward
0,0,1,0,0.2,forward
0,0,2,0,0.2,forward
0,0,3,0,0.2,forward
0,0,4,0,0.2,forward
0,0,5,0,0.2,forward
0,0,1,0,0.30000000000000004,forward
0,0,2,0,0.30000000000000004,forward
0,0,3,0,0.30000000000000004,forward
0,0,4,1,0.30000000000000004,forward
0,0,5,0,0.30000000000000004,forward
0,0,1,0,0.4,forward
0,0,2,0,0.4,forward
0,0,3,0,0.4,forward
0,0,4,0,0.4,forward
0,0,5,0,0.4,forward
0,0,1,0,0.5,forward
0,0,2,0,0.5,forward
0,0,3,0,0.5,forward
0,0,4,0,0.5,forward
0,0,5,0,0.5,forward
0,0,1,0,0.6,forward
0,0,2,0,0.6,forward
0,0,3,0,0.6,forward
0,0,4,0,0.6,forward
0,0,5,0,0.6,forward
0,0,1,0,0.7,forward
0,0,2,0,0.7,forward
0,0,3,0,0.7,forward
0,0,4,0,0.7,forward
0,0,5,0,0.7,forward
0,0,1,0,0.7999999999999999,forward
0,0,2,0,0.7999999999999999,forward
0,0,3,0,0.7999999999999999,forward
0,0,4,0,0.7999999999999999,forward
0,0,5,0,0.7999999999999999,forward
0,0,1,0,0.8999999999999999,forward
0,0,2,0,0.8999999999999999,forward
0,0,3,0,0.8999999999999999,forward
0,0,4,0,0.8999999999999999,forward
0,0,5,0,0.8999999999999999,forward
0,0,1,0,0.9999999999999999,forward
0,0,2,0,0.9999999999999999,forward
0,0,3,0,0.9999999999999999,forward
0,0,4,0,0.9999999999999999,forward
0,0,5,0,0.9999999999999999,forward
0,0,1,0,0.1,backward
0,0,2,0,0.1,backward
0,0,3,0,0.1,backward
0,0,4,0,0.1,backward
0,0,5,0,0.1,backward
0,0,1,0,0.2,backward
0,0,2,0,0.2,backward
0,0,3,0,0.2,backward
0,0,4,0,0.2,backward
0,0,5,0,0.2,backward
0,0,1,0,0.30000000000000004,backward
0,0,2,0,0.30000000000000004,backward
0,0,3,0,0.30000000000000004,backward
0,0,4,0,0.30000000000000004,backward
0,0,5,0,0.30000000000000004,backward
0,0,1,0,0.4,backward
0,0,2,0,0.4,backward
0,0,3,0,0.4,backward
0,0,4,0,0.4,backward
0,0,5,0,0.4,backward
0,0,1,0,0.5,backward
0,0,2,0,0.5,backward
0,0,3,0,0.5,backward
0,0,4,0,0.5,backward
0,0,5,0,0.5,backward
0,0,1,0,0.6,backward
0,0,2,0,0.6,backward
0,0,3,0,0.6,backward
0,0,4,0,0.6,backward
0,0,5,0,0.6,backward
0,0,1,0,0.7,backward
0,0,2,0,0.7,backward
0,0,3,0,0.7,backward
0,0,4,0,0.7,backward
0,0,5,0,0.7,backward
0,0,1,0,0.7999999999999999,backward
0,0,2,0,0.7999999999999999,backward
0,0,3,0,0.7999999999999999,backward
0,0,4,0,0.7999999999999999,backward
0,0,5,0,0.7999999999999999,backward
0,0,1,0,0.8999999999999999,backward
0,1,2,0,0.8999999999999999,backward
